id,sku,department,category,brand,name,variant,description,tags,icon,color,price,old_price,is_promo,stock,rating,reviews,image_filename,image_prompt
11,PS-011,obuwie,Buty do biegania,Hoka,Clifton 9,Turkus,Clifton 9 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bieganie,amortyzacja,komfort",shoe,#2D6CDF,649,,false,13,4.9,285,product_011.png,"Photorealistic e-commerce product photo of Hoka Clifton 9 (Turkus), category Buty do biegania. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_011.png."
12,PS-012,obuwie,Buty trailowe,Hoka,Speedgoat 5,Oliwka,Speedgoat 5 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"trail,off-road,góry",shoe,#2D6CDF,699,,false,6,4.8,190,product_012.png,"Photorealistic e-commerce product photo of Hoka Speedgoat 5 (Oliwka), category Buty trailowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_012.png."
13,PS-013,obuwie,Sneakersy,Puma,Suede Classic,Czerń/Biel,Suede Classic — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"lifestyle,sneakers,klasyka",shoe,#2D6CDF,319,409,true,20,4.6,450,product_013.png,"Photorealistic e-commerce product photo of Puma Suede Classic (Czerń/Biel), category Sneakersy. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_013.png."
14,PS-014,obuwie,Buty do biegania,Brooks,Ghost 16,Grafit,Ghost 16 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bieganie,trening,komfort",shoe,#2D6CDF,529,,false,14,4.8,330,product_014.png,"Photorealistic e-commerce product photo of Brooks Ghost 16 (Grafit), category Buty do biegania. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_014.png."
15,PS-015,obuwie,Buty treningowe,Nike,Metcon 9,Czerń,Metcon 9 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"trening,siłownia,crossfit",shoe,#2D6CDF,599,,false,12,4.7,260,product_015.png,"Photorealistic e-commerce product photo of Nike Metcon 9 (Czerń), category Buty treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_015.png."
16,PS-016,obuwie,Buty do koszykówki,Nike,LeBron XXI,Czerwony,LeBron XXI — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszykówka,hala,wsparcie kostki",shoe,#2D6CDF,749,,false,5,4.7,98,product_016.png,"Photorealistic e-commerce product photo of Nike LeBron XXI (Czerwony), category Buty do koszykówki. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_016.png."
17,PS-017,obuwie,Korki piłkarskie,Puma,Future 7 FG,Fiolet,Future 7 FG — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"piłka nożna,korki,kontrola",shoe,#2D6CDF,599,,false,9,4.6,150,product_017.png,"Photorealistic e-commerce product photo of Puma Future 7 FG (Fiolet), category Korki piłkarskie. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_017.png."
18,PS-018,obuwie,Buty do biegania,Saucony,Endorphin Speed 4,Biel/Limonka,Endorphin Speed 4 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bieganie,start,szybkość",shoe,#2D6CDF,749,,false,7,4.9,210,product_018.png,"Photorealistic e-commerce product photo of Saucony Endorphin Speed 4 (Biel/Limonka), category Buty do biegania. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_018.png."
19,PS-019,obuwie,Buty do biegania,Mizuno,Wave Rider 27,Granat/Biel,Wave Rider 27 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bieganie,stabilność,trening",shoe,#2D6CDF,499,,false,16,4.7,175,product_019.png,"Photorealistic e-commerce product photo of Mizuno Wave Rider 27 (Granat/Biel), category Buty do biegania. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_019.png."
20,PS-020,obuwie,Buty trailowe,Asics,Trabuco Max 3,Pomarańcz,Trabuco Max 3 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"trail,góry,amortyzacja",shoe,#2D6CDF,629,,false,8,4.6,115,product_020.png,"Photorealistic e-commerce product photo of Asics Trabuco Max 3 (Pomarańcz), category Buty trailowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_020.png."
21,PS-021,obuwie,Sneakersy,Adidas,Samba OG,Biel/Czerń,Samba OG — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"lifestyle,sneakers,klasyka",shoe,#2D6CDF,449,,false,18,4.8,690,product_021.png,"Photorealistic e-commerce product photo of Adidas Samba OG (Biel/Czerń), category Sneakersy. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_021.png."
22,PS-022,obuwie,Buty treningowe,Puma,Fuse 3.0,Szary,Fuse 3.0 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"trening,fitness,stabilizacja",shoe,#2D6CDF,349,439,true,12,4.5,89,product_022.png,"Photorealistic e-commerce product photo of Puma Fuse 3.0 (Szary), category Buty treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_022.png."
23,PS-023,obuwie,Buty do biegania,New Balance,Fresh Foam 1080v13,Błękit,Fresh Foam 1080v13 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bieganie,komfort,długie dystanse",shoe,#2D6CDF,699,,false,10,4.9,240,product_023.png,"Photorealistic e-commerce product photo of New Balance Fresh Foam 1080v13 (Błękit), category Buty do biegania. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_023.png."
24,PS-024,obuwie,Korki piłkarskie,Mizuno,Morelia Neo IV,Czerń/Złoto,Morelia Neo IV — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"piłka nożna,skóra,premium",shoe,#2D6CDF,899,,false,4,4.9,75,product_024.png,"Photorealistic e-commerce product photo of Mizuno Morelia Neo IV (Czerń/Złoto), category Korki piłkarskie. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_024.png."
25,PS-025,obuwie,Buty do koszykówki,Adidas,Harden Vol. 8,Czerń/Czerwień,Harden Vol. 8 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszykówka,hala,amortyzacja",shoe,#2D6CDF,699,,false,7,4.7,121,product_025.png,"Photorealistic e-commerce product photo of Adidas Harden Vol. 8 (Czerń/Czerwień), category Buty do koszykówki. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_025.png."
26,PS-026,odziez,Koszulki treningowe,Nike,Dri-FIT Miler,Royal Blue,Dri-FIT Miler — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszulka,trening,oddychająca",shirt,#E8590C,149,,false,25,4.7,210,product_026.png,"Photorealistic e-commerce product photo of Nike Dri-FIT Miler (Royal Blue), category Koszulki treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_026.png."
27,PS-027,odziez,Spodenki sportowe,Adidas,Run It Shorts,Czerń,Run It Shorts — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"spodenki,bieganie,lekkie",shirt,#E8590C,129,179,true,30,4.6,190,product_027.png,"Photorealistic e-commerce product photo of Adidas Run It Shorts (Czerń), category Spodenki sportowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_027.png."
28,PS-028,odziez,Bluzy i hoody,Nike,Sportswear Club Hoodie,Szary melanż,Sportswear Club Hoodie — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bluza,hoodie,rozgrzewka",shirt,#E8590C,279,,false,14,4.8,340,product_028.png,"Photorealistic e-commerce product photo of Nike Sportswear Club Hoodie (Szary melanż), category Bluzy i hoody. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_028.png."
29,PS-029,odziez,Koszulki treningowe,Under Armour,Tech 2.0 Tee,Czerń,Tech 2.0 Tee — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszulka,trening,quick-dry",shirt,#E8590C,119,,false,28,4.6,230,product_029.png,"Photorealistic e-commerce product photo of Under Armour Tech 2.0 Tee (Czerń), category Koszulki treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_029.png."
30,PS-030,odziez,Legginsy i getry,Adidas,Optime Training Tights,Czerń,Optime Training Tights — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"legginsy,joga,trening",shirt,#E8590C,199,,false,16,4.7,140,product_030.png,"Photorealistic e-commerce product photo of Adidas Optime Training Tights (Czerń), category Legginsy i getry. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_030.png."
31,PS-031,odziez,Kurtki sportowe,The North Face,Quest Jacket,Granat,Quest Jacket — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"kurtka,wiatrówka,outdoor",shirt,#E8590C,449,,false,9,4.8,160,product_031.png,"Photorealistic e-commerce product photo of The North Face Quest Jacket (Granat), category Kurtki sportowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_031.png."
32,PS-032,odziez,Spodenki sportowe,Nike,Dri-FIT Stride 7,Grafit,Dri-FIT Stride 7 — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"spodenki,bieganie,trening",shirt,#E8590C,179,,false,20,4.7,125,product_032.png,"Photorealistic e-commerce product photo of Nike Dri-FIT Stride 7 (Grafit), category Spodenki sportowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_032.png."
33,PS-033,odziez,Koszulki treningowe,Adidas,Aeroready Designed 2 Move,Biel,Aeroready Designed 2 Move — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszulka,fitness,oddychająca",shirt,#E8590C,99,149,true,31,4.5,180,product_033.png,"Photorealistic e-commerce product photo of Adidas Aeroready Designed 2 Move (Biel), category Koszulki treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_033.png."
34,PS-034,odziez,Bluzy i hoody,Adidas,Essentials Fleece Hoodie,Czerń,Essentials Fleece Hoodie — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bluza,hoodie,codzienne",shirt,#E8590C,249,,false,18,4.7,280,product_034.png,"Photorealistic e-commerce product photo of Adidas Essentials Fleece Hoodie (Czerń), category Bluzy i hoody. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_034.png."
35,PS-035,odziez,Skarpety i bielizna termo,Nike,Everyday Cushioned 3-pak,Biel,Everyday Cushioned 3-pak — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"skarpety,trening,komfort",shirt,#E8590C,59,,false,40,4.6,520,product_035.png,"Photorealistic e-commerce product photo of Nike Everyday Cushioned 3-pak (Biel), category Skarpety i bielizna termo. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_035.png."
36,PS-036,odziez,Kurtki sportowe,Columbia,Watertight II Jacket,Oliwka,Watertight II Jacket — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"kurtka,deszcz,outdoor",shirt,#E8590C,399,,false,11,4.7,130,product_036.png,"Photorealistic e-commerce product photo of Columbia Watertight II Jacket (Oliwka), category Kurtki sportowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_036.png."
37,PS-037,odziez,Legginsy i getry,Nike,Pro 365 Tight,Granat,Pro 365 Tight — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"legginsy,kompresja,trening",shirt,#E8590C,189,,false,15,4.8,155,product_037.png,"Photorealistic e-commerce product photo of Nike Pro 365 Tight (Granat), category Legginsy i getry. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_037.png."
38,PS-038,odziez,Koszulki treningowe,Puma,teamLIGA Jersey,Czerwony,teamLIGA Jersey — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszulka,piłka,trening",shirt,#E8590C,89,,false,22,4.4,95,product_038.png,"Photorealistic e-commerce product photo of Puma teamLIGA Jersey (Czerwony), category Koszulki treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_038.png."
39,PS-039,odziez,Spodenki sportowe,Under Armour,Launch 5 Shorts,Limonka,Launch 5 Shorts — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"spodenki,bieganie,lekkie",shirt,#E8590C,149,,false,17,4.6,102,product_039.png,"Photorealistic e-commerce product photo of Under Armour Launch 5 Shorts (Limonka), category Spodenki sportowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_039.png."
40,PS-040,odziez,Bluzy i hoody,Champion,Powerblend Hoodie,Bordo,Powerblend Hoodie — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bluza,hoodie,lifestyle",shirt,#E8590C,229,,false,12,4.6,210,product_040.png,"Photorealistic e-commerce product photo of Champion Powerblend Hoodie (Bordo), category Bluzy i hoody. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_040.png."
41,PS-041,odziez,Kurtki sportowe,4F,Kurtka Softshell,Grafit,Kurtka Softshell — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"kurtka,softshell,outdoor",shirt,#E8590C,299,349,true,13,4.5,88,product_041.png,"Photorealistic e-commerce product photo of 4F Kurtka Softshell (Grafit), category Kurtki sportowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_041.png."
42,PS-042,odziez,Koszulki treningowe,Asics,Core Top,Turkus,Core Top — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszulka,bieganie,lekka",shirt,#E8590C,109,,false,18,4.5,73,product_042.png,"Photorealistic e-commerce product photo of Asics Core Top (Turkus), category Koszulki treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_042.png."
43,PS-043,odziez,Skarpety i bielizna termo,Brubeck,Active Wool Base Layer,Czerń,Active Wool Base Layer — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"termoaktywne,wełna,outdoor",shirt,#E8590C,189,,false,9,4.8,99,product_043.png,"Photorealistic e-commerce product photo of Brubeck Active Wool Base Layer (Czerń), category Skarpety i bielizna termo. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_043.png."
44,PS-044,odziez,Legginsy i getry,Under Armour,Meridian Tights,Fiolet,Meridian Tights — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"legginsy,joga,komfort",shirt,#E8590C,249,,false,8,4.7,86,product_044.png,"Photorealistic e-commerce product photo of Under Armour Meridian Tights (Fiolet), category Legginsy i getry. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_044.png."
45,PS-045,odziez,Bluzy i hoody,Puma,ESS Logo Hoodie,Granat,ESS Logo Hoodie — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"bluza,hoodie,lifestyle",shirt,#E8590C,199,,false,19,4.5,150,product_045.png,"Photorealistic e-commerce product photo of Puma ESS Logo Hoodie (Granat), category Bluzy i hoody. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_045.png."
46,PS-046,odziez,Spodenki sportowe,New Balance,Accelerate 5 Shorts,Błękit,Accelerate 5 Shorts — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"spodenki,bieganie,trening",shirt,#E8590C,129,,false,20,4.5,64,product_046.png,"Photorealistic e-commerce product photo of New Balance Accelerate 5 Shorts (Błękit), category Spodenki sportowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_046.png."
47,PS-047,odziez,Kurtki sportowe,Adidas,Terrex Multi Jacket,Pomarańcz,Terrex Multi Jacket — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"kurtka,outdoor,trekking",shirt,#E8590C,499,,false,6,4.7,71,product_047.png,"Photorealistic e-commerce product photo of Adidas Terrex Multi Jacket (Pomarańcz), category Kurtki sportowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_047.png."
48,PS-048,odziez,Koszulki treningowe,4F,Funkcyjna Quick-Dry,Szary,Funkcyjna Quick-Dry — realistyczny produkt demonstracyjny dla sklepu ProSport. Pozycja przygotowana do modułu rekomendacyjnego AI.,"koszulka,fitness,quick-dry",shirt,#E8590C,79,129,true,35,4.4,112,product_048.png,"Photorealistic e-commerce product photo of 4F Funkcyjna Quick-Dry (Szary), category Koszulki treningowe. Single product only, centered on pure white seamless background, soft studio lighting, subtle realistic shadow, premium sports retail catalog style, high detail, no person, no packaging unless the product itself is packaging, no watermark, no extra text overlay. Save as product_048.png."
